
Date de publication :12/12/2016


Code Série;UC.D.USD.EUR.SP00.A;UC.D.JPY.EUR.SP00.A;UC.D.DKK.EUR.SP00.A;UC.D.GBP.EUR.SP00.A;UC.D.SEK.EUR.SP00.A;UC.D.CHF.EUR.SP00.A;UC.D.ISK.EUR.SP00.A;UC.D.NOK.EUR.SP00.A;UC.D.BGN.EUR.SP00.A;UC.D.CYP.EUR.SP00.A;UC.D.CZK.EUR.SP00.A;UC.D.EEK.EUR.SP00.A;UC.D.HUF.EUR.SP00.A;UC.D.LTL.EUR.SP00.A;UC.D.LVL.EUR.SP00.A;UC.D.MTL.EUR.SP00.A;UC.D.PLN.EUR.SP00.A;UC.D.RON.EUR.SP00.A;UC.D.SIT.EUR.SP00.A;UC.D.SKK.EUR.SP00.A;UC.D.TRY.EUR.SP00.A;UC.D.AUD.EUR.SP00.A;UC.D.CAD.EUR.SP00.A;UC.D.HKD.EUR.SP00.A;UC.D.NZD.EUR.SP00.A;UC.D.SGD.EUR.SP00.A;UC.D.KRW.EUR.SP00.A;UC.D.ZAR.EUR.SP00.A;UC.D.CNY.EUR.SP00.A;UC.D.PHP.EUR.SP00.A;UC.D.MYR.EUR.SP00.A;UC.D.THB.EUR.SP00.A;UC.D.RUB.EUR.SP00.A;UC.D.IDR.EUR.SP00.A;UC.D.HRK.EUR.SP00.A;UC.D.BRL.EUR.SP00.A;UC.D.MXN.EUR.SP00.A;UC.D.INR.EUR.SP00.A;UC.D.ILS.EUR.SP00.A
Titre;Cours de change de l'euro contre dollar des Etats-Unis (USD) - source BCE (14:15 CET);Cours de change de l'euro contre yen japonais (JPY)  - source BCE (14:15 CET);Cours de change de l'euro contre couronne danoise (DKK) - source BCE (14:15 CET);Cours de change de l'euro contre livre sterling (GBP)  - source BCE (14:15 CET);Cours de change de l'euro contre couronne suédoise (SEK) - source BCE (14:15 CET);Cours de change de l'euro contre franc suisse (CHF)  - source BCE (14:15 CET);Cours de change de l'euro contre couronne islandaise (ISK) - source BCE (14:15 CET);Cours de change de l'euro contre couronne norvégienne (NOK) - source BCE (14:15 CET);Cours de change de l'euro contre lev bulgare (BGN) - source BCE (14:15 CET);Cours de change de l'euro contre livre chypriote (CYP) - source BCE (14:15 CET);Cours de change de l'euro contre couronne tchèque (CZK) - source BCE (14:15 CET);Cours de change de l'euro contre couronne estonienne (EEK) - source BCE (14:15 CET);Cours de change de l'euro contre forint hongrois (HUF) - source BCE (14:15 CET);Cours de change de l'euro contre litas lituanien (LTL) - source BCE (14:15 CET);Cours de change de l'euro contre lats letton (LVL) - source BCE (14:15 CET);Cours de change de l'euro contre livre maltaise (MTL) - source BCE (14:15 CET);Cours de change de l'euro contre zloty polonais (PLN) - source BCE (14:15 CET);Cours de change de l'euro contre (nouveau) leu roumain (RON) - source BCE (14:15 CET);Cours de change de l'euro contre tolar slovène (SIT) - source BCE (14:15 CET);Cours de change de l'euro contre couronne slovaque (SKK) - source BCE (14:15 CET);Cours de change de l'euro contre nouvelle livre turque (TRY) - source BCE (14:15 CET);Cours de change de l'euro contre dollar australien (AUD) - source BCE (14:15 CET);Cours de change de l'euro contre dollar canadien (CAD) - source BCE (14:15 CET);Cours de change de l'euro contre dollar de Hong Kong (HKD) - source BCE (14:15 CET);Cours de change de l'euro contre dollar neo-zélandais (NZD) - source BCE (14:15 CET);Cours de change de l'euro contre dollar de Singapour (SGD) - source BCE (14:15 CET);Cours de change de l'euro contre won coréen (KRW) - source BCE (14:15 CET);Cours de change de l'euro contre rand sud-africain (ZAR) - source BCE (14:15 CET);Cours de change de l'euro contre yuan renminbi chinois (CNY) - source BCE (14:15 CET);Cours de change de l'euro contre peso philippin (PHP) - source BCE (14:15 CET);Cours de change de l'euro contre ringgit malaisien (MYR) - source BCE (14:15 CET);Cours de change de l'euro contre baht thaïlandais (THB) - source BCE (14:15 CET);Cours de change de l'euro contre rouble russe (RUB) - source BCE (14:15 CET);Cours de change de l'euro contre roupie indonésienne (IDR) - source BCE (14:15 CET);Cours de change de l'euro contre kuna croate (HRK) - source BCE (14:15 CET);Cours de change de l'euro contre real brésilien (BRL) - source BCE (14:15 CET);Cours de change de l'euro contre peso méxicain (MXN) - source BCE (14:15 CET);Cours de change de l'euro contre Roupie Indienne (100 paise) - source BCE (14:15 CET);Cours de change de l'euro contre sheqel israélien (ILS) - source BCE (14:15 CET)
Mise à jour série;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;06/10/2016;12/12/2016;12/12/2016;06/10/2016;12/12/2016;06/10/2016;12/12/2016;06/10/2016;06/10/2016;06/10/2016;12/12/2016;12/12/2016;06/10/2016;06/10/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016;12/12/2016
Unité;USD;JPY;DKK;GBP;SEK;CHF;ISK;NOK;BGN;CYP;CZK;EEK;HUF;LTL;LVL;MTL;PLN;RON;SIT;SKK;TRY;AUD;CAD;HKD;NZD;SGD;KRW;ZAR;CNY;PHP;MYR;THB;RUB;IDR;HRK;BRL;MXN;INR;ILS
04/01/1999;1,17890;133,73000;7,45010;0,71110;9,46960;1,61680;81,48000;8,85500;ND;0,58231;35,10700;15,64660;251,48000;4,71700;0,66680;0,44320;4,07120;1,31110;189,04500;42,99100;0,37230;1,91000;1,80040;9,13320;2,22290;1,95540;1398,59000;6,93580;ND;45,51000;4,47980;42,67990;25,28750;9433,61000;ND;ND;11,64460;ND;ND
05/01/1999;1,17900;130,96000;7,44950;0,71220;9,40250;1,61230;81,53000;8,77450;ND;0,58230;34,91700;15,64660;250,80000;4,71740;0,66570;0,44320;4,02450;1,31680;188,77500;42,84800;0,37280;1,89440;1,79650;9,13410;2,20110;1,96550;1373,01000;6,79750;ND;44,74500;4,48050;42,50480;26,58760;9314,51000;ND;ND;11,59600;ND;ND
06/01/1999;1,17430;131,42000;7,44520;0,70760;9,30500;1,61160;81,54000;8,73350;ND;0,58200;34,85000;15,64660;250,67000;4,69940;0,66490;0,44200;4,00650;1,31680;188,70000;42,77800;0,37220;1,88200;1,77110;9,10100;2,18900;1,96990;1359,54000;6,73070;ND;44,87200;4,46370;42,69490;27,43150;9337,68000;ND;ND;11,47050;ND;ND
07/01/1999;1,16320;129,43000;7,44310;0,70585;9,18000;1,61650;81,06000;8,62950;ND;0,58187;34,88600;15,64660;250,09000;4,65480;0,66270;0,44130;4,01650;1,30920;188,80000;42,76500;0,37010;1,84740;1,76020;9,01310;2,15310;1,94360;1337,16000;6,82830;ND;44,43600;4,42030;42,16780;26,98760;9218,77000;ND;ND;11,55110;ND;ND
08/01/1999;1,16590;130,09000;7,44330;0,70940;9,16500;1,61380;80,99000;8,59000;ND;0,58187;34,93800;15,64660;250,15000;4,66430;0,66540;0,44190;4,03630;1,31430;188,84000;42,56000;0,37180;1,84060;1,76430;9,03020;2,15570;1,95370;1366,73000;6,78550;ND;44,29500;4,42950;42,55900;27,20750;9321,63000;ND;ND;11,44140;ND;ND
11/01/1999;1,15690;126,33000;7,44330;0,70440;9,09850;1,61040;80,55000;8,55850;ND;0,58167;35,17300;15,64660;249,70000;4,62960;0,65860;0,44050;4,03200;1,29800;188,96550;42,50900;0,37250;1,81340;1,74630;8,96550;2,12570;1,93580;1356,70000;6,79100;ND;43,56500;4,39700;41,95680;27,01480;9255,61000;ND;ND;11,43220;ND;ND
12/01/1999;1,15200;129,63000;7,44300;0,70660;9,09550;1,60720;80,59000;8,61000;ND;0,58140;35,25000;15,64660;249,20000;4,60880;0,66010;0,44030;4,03300;1,29120;189,53520;42,49000;0,37210;1,80900;1,73920;8,92460;2,12100;1,93430;1353,43000;6,95810;ND;43,65600;4,37700;41,98500;26,63660;9301,20000;ND;ND;11,48970;ND;ND
